symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
EBAY,Falling Wedge,2024-02-13 05:00:00+00:00,2024-02-14 05:00:00+00:00,-2.6451153102080154,-21.13012734085341,4155.807081274446,19.732565500812754,40.48311777740293
CVX,Ascending Triangle,2024-02-27 05:00:00+00:00,2024-03-04 05:00:00+00:00,-2.8707125580933983,-23.86025515445605,4131.94682611999,6.066754607860465,137.00264308992897
AJG,Falling Wedge,2024-02-27 05:00:00+00:00,2024-03-06 05:00:00+00:00,5.06351441167069,42.08597809631253,4174.032804216303,3.6306371008474465,228.92990766300585
BBY,Falling Wedge,2024-02-27 05:00:00+00:00,2024-02-29 05:00:00+00:00,8.30748445464108,69.04860544834958,4243.081409664653,12.504361360546367,66.46972142674645
CF,Falling Wedge,2024-02-27 05:00:00+00:00,2024-03-07 05:00:00+00:00,6.478270496370962,53.84488480645953,4296.926294471113,11.261106189257303,73.8081501307383
SCHW,Falling Wedge,2024-02-27 05:00:00+00:00,2024-02-29 05:00:00+00:00,4.00674863148605,33.30254867123284,4330.228843142346,13.42234179881327,61.92372603179991
TER,Falling Wedge,2024-03-12 04:00:00+00:00,2024-03-21 04:00:00+00:00,6.052528653657653,52.41766830002776,4382.646511442374,8.459079099743994,102.38062068182803
HAS,Inverse Head & Shoulders,2024-03-12 04:00:00+00:00,2024-03-21 04:00:00+00:00,5.799999701440808,50.23065199479196,4432.877163437165,18.177331570228333,47.64427414895807
EXPD,Falling Wedge,2024-03-12 04:00:00+00:00,2024-03-13 04:00:00+00:00,3.3467260513944725,28.984179355688475,4461.861342792854,7.622124565154977,113.62262073066242
EXE,Channel Breakout,2024-03-12 04:00:00+00:00,2024-03-20 04:00:00+00:00,5.784872208641131,50.099640983500784,4511.960983776355,11.493510013543105,75.35085170744053
EXC,Falling Wedge,2024-03-12 04:00:00+00:00,2024-03-13 04:00:00+00:00,5.236831465193198,45.35335731450996,4557.314341090864,26.565185093118473,32.6007805175358
CDW,Ascending Triangle,2024-03-26 04:00:00+00:00,2024-04-04 04:00:00+00:00,4.623646974007292,42.14282532556962,4599.457166416434,3.8107454211366383,239.18230358886296
MET,Ascending Triangle,2024-03-26 04:00:00+00:00,2024-03-27 04:00:00+00:00,4.038386935635474,36.808397393291074,4636.265563809725,13.957255449869987,65.30387521327935
CTVA,Falling Wedge,2024-03-26 04:00:00+00:00,2024-03-27 04:00:00+00:00,3.4185670474452716,31.15896926260598,4667.424533072331,17.077804296577757,53.37119763111597
CVS,Falling Wedge,2024-03-26 04:00:00+00:00,2024-04-02 04:00:00+00:00,-3.137083570195421,-28.593351887304244,4638.831181185026,13.029157950363466,69.9556235092496
DLTR,Falling Wedge,2024-03-26 04:00:00+00:00,2024-03-28 04:00:00+00:00,8.957565032284572,81.64487916576905,4720.476060350796,7.429265720315227,122.68545809659088
NI,Inverse Head & Shoulders,2024-04-09 04:00:00+00:00,2024-04-19 04:00:00+00:00,3.4307239495457726,32.3893005470059,4752.865360897802,37.986202494973725,24.85363500589669
BRK-B,Falling Wedge,2024-04-09 04:00:00+00:00,2024-04-10 04:00:00+00:00,-0.3181058564540322,-3.003222160097292,4749.862138737704,2.3004675349055588,410.3927561442058
BNY,Double Bottom,2024-04-09 04:00:00+00:00,2024-04-15 04:00:00+00:00,-3.249277931504682,-30.676277378188004,4719.185861359516,17.70194341868976,53.33285672314266
COST,Falling Wedge,2024-04-09 04:00:00+00:00,2024-04-11 04:00:00+00:00,3.324763089846785,31.38892914391938,4750.574790503435,1.3591445813418572,694.6245638841986
DDOG,Falling Wedge,2024-04-09 04:00:00+00:00,2024-04-19 04:00:00+00:00,-3.285504436428438,-31.018290076673548,4719.556500426762,7.628515802503747,123.75870175956096
GS,Falling Wedge,2024-04-23 04:00:00+00:00,2024-05-03 04:00:00+00:00,4.87454368302165,46.01136865163808,4765.5678690784,2.394405726378532,394.2152700716225
ACN,Falling Wedge,2024-04-23 04:00:00+00:00,2024-05-01 04:00:00+00:00,-3.1526671311911043,-29.758381305389534,4735.80948777301,3.2024571812368894,294.7459549547464
ALL,Double Bottom,2024-04-23 04:00:00+00:00,2024-05-03 04:00:00+00:00,-4.31214161064388,-40.70279193855011,4695.10669583446,5.6539999803837,166.94575581185185
MDLZ,Falling Wedge,2024-04-23 04:00:00+00:00,2024-04-24 04:00:00+00:00,2.9014458056863424,27.387074825725882,4722.493770660186,14.692598925541203,64.24399827892147
AXP,Falling Wedge,2024-04-23 04:00:00+00:00,2024-04-24 04:00:00+00:00,3.973873329609553,37.50983940926262,4760.003610069449,4.291260183644176,219.9613306326662
DLTR,Falling Wedge,2024-05-07 04:00:00+00:00,2024-05-17 04:00:00+00:00,-0.568463914152468,-5.411780567119913,4754.591829502328,8.078757220288232,117.83999643201612
DTE,Double Top Breakout,2024-05-07 04:00:00+00:00,2024-05-10 04:00:00+00:00,3.866947291201864,36.8133661321383,4791.4051956344665,9.149116700068046,104.05383964626984
DLR,Falling Wedge,2024-05-07 04:00:00+00:00,2024-05-08 04:00:00+00:00,-1.9045029235945758,-18.130881583396,4773.27431405107,7.126079789100823,133.59389035609078
DELL,Falling Wedge,2024-05-07 04:00:00+00:00,2024-05-10 04:00:00+00:00,9.496785069847945,90.40946243305973,4863.68377648413,8.047955338456164,118.29100460645842
BDX,Falling Wedge,2024-05-07 04:00:00+00:00,2024-05-13 04:00:00+00:00,2.756291260741534,26.23991270306515,4889.923689187195,5.485233123658978,173.557021288249
XYZ,Falling Wedge,2024-05-21 04:00:00+00:00,2024-05-22 04:00:00+00:00,-6.834828326554216,-66.84357789109028,4823.080111296104,13.454611439793927,72.68769835633529
DXCM,Falling Wedge,2024-05-21 04:00:00+00:00,2024-05-30 04:00:00+00:00,-4.767770454737012,-46.628067382450645,4776.452043913654,7.630668037250813,128.16502212692097
CCI,Falling Wedge,2024-05-21 04:00:00+00:00,2024-05-31 04:00:00+00:00,7.839381467531244,76.66795429331222,4853.119998206967,11.626787523704976,84.11478543350862
COIN,Falling Wedge,2024-05-21 04:00:00+00:00,2024-05-22 04:00:00+00:00,9.484284305781589,92.75485300365544,4945.874851210622,4.54453845785655,215.2000135782126
CB,Falling Wedge,2024-05-21 04:00:00+00:00,2024-05-22 04:00:00+00:00,5.250671052253654,51.350761525089204,4997.225612735711,3.951172013665027,247.51763133953773
EXPD,Falling Wedge,2024-06-04 04:00:00+00:00,2024-06-05 04:00:00+00:00,3.3903380958537426,33.88456873686789,5031.110181472579,8.71886277019504,114.6302159914354
DLTR,Falling Wedge,2024-06-04 04:00:00+00:00,2024-06-10 04:00:00+00:00,-5.722138272110048,-57.18963186600721,4973.9205496065715,8.563699758026408,116.70716521914528
LUV,Falling Wedge,2024-06-04 04:00:00+00:00,2024-06-10 04:00:00+00:00,5.644838695734654,56.417065020173716,5030.337614626746,38.30044134427886,26.094872212130127
CMCSA,Falling Wedge,2024-06-04 04:00:00+00:00,2024-06-12 04:00:00+00:00,-3.2853954346503498,-32.83572442799941,4997.501890198746,29.935009190115302,33.387166050283504
APTV,Inverse Head & Shoulders,2024-06-04 04:00:00+00:00,2024-06-10 04:00:00+00:00,-4.659939031401572,-46.57353336301356,4950.928356835732,12.014728038468167,83.18499755859375
