symbol,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,days_held
ZS,Double Bottom,2021-09-13 00:00:00-04:00,267.6000061035156,2021-09-13 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-37.79708878733343,0
SNOW,Double Bottom,2021-09-13 00:00:00-04:00,318.260009765625,2021-09-13 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),-4.376889215312706,0
V,Double Bottom,2021-09-13 00:00:00-04:00,217.1459250670488,2021-09-13 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),69.28180650826337,0
GILD,Double Bottom,2021-09-13 00:00:00-04:00,59.35641328833543,2021-09-13 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),138.78271581552545,0
UNP,Double Bottom,2021-09-13 00:00:00-04:00,187.6360276736738,2021-09-13 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),57.973776594778805,0
CVX,Double Bottom,2021-09-13 00:00:00-04:00,79.5527427785166,2021-09-13 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),141.41051019598544,0
PANW,Double Bottom,2021-09-20 00:00:00-04:00,78.2683334350586,2021-09-20 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),350.01853260039417,0
ZS,Double Bottom,2021-09-20 00:00:00-04:00,268.00299072265625,2021-09-20 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-37.89062064090298,0
SNOW,Double Bottom,2021-09-20 00:00:00-04:00,312.42999267578125,2021-09-20 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),-2.5925394949666547,0
V,Double Bottom,2021-09-20 00:00:00-04:00,208.8944883522935,2021-09-20 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),75.96852248808712,0
GILD,Double Bottom,2021-09-20 00:00:00-04:00,59.693800949004,2021-09-20 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),137.43312271513116,0
UNP,Double Bottom,2021-09-20 00:00:00-04:00,178.4898673158574,2021-09-20 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),66.06865343453175,0
CVX,Double Bottom,2021-09-20 00:00:00-04:00,77.44954759371169,2021-09-20 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),147.96617692846252,0
PANW,Double Bottom,2021-09-27 00:00:00-04:00,80.93000030517578,2021-09-27 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),335.2180950043916,0
ZS,Double Bottom,2021-09-27 00:00:00-04:00,277.70001220703125,2021-09-27 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-40.05942135949046,0
SNOW,Double Bottom,2021-09-27 00:00:00-04:00,309.55999755859375,2021-09-28 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),-1.6894546705969786,1
V,Double Bottom,2021-09-27 00:00:00-04:00,223.10580522509636,2021-09-27 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),64.75974004428615,0
GILD,Double Bottom,2021-09-27 00:00:00-04:00,59.84528849972525,2021-09-27 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),136.83210360198277,0
UNP,Double Bottom,2021-09-27 00:00:00-04:00,182.73532010753996,2021-09-27 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),62.21041394410547,0
CVX,Double Bottom,2021-09-27 00:00:00-04:00,83.95551408589692,2021-09-27 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),128.75052854780597,0
PANW,Double Bottom,2021-10-04 00:00:00-04:00,80.80999755859375,2021-10-04 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),335.86439333802116,0
ZS,Double Bottom,2021-10-04 00:00:00-04:00,261.3500061035156,2021-10-04 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-36.30955029106424,0
SNOW,Double Bottom,2021-10-04 00:00:00-04:00,300.010009765625,2021-10-04 00:00:00-04:00,304.3301217215402,LOSS (Stop Hit),1.4399892721213434,0
V,Double Bottom,2021-10-04 00:00:00-04:00,221.44976356107676,2021-10-04 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),65.9918433876303,0
GILD,Double Bottom,2021-10-04 00:00:00-04:00,57.396270106429625,2021-10-04 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),146.9373974959701,0
UNP,Double Bottom,2021-10-04 00:00:00-04:00,183.05847922401688,2021-10-04 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),61.924058598667564,0
CVX,Double Bottom,2021-10-04 00:00:00-04:00,85.92777101034106,2021-10-04 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),123.50013267934602,0
PANW,Double Bottom,2021-10-11 00:00:00-04:00,82.0183334350586,2021-10-11 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),329.44301702267666,0
ZS,Double Bottom,2021-10-11 00:00:00-04:00,263.6000061035156,2021-10-11 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-36.853190308237956,0
SNOW,Double Bottom,2021-10-11 00:00:00-04:00,312.989990234375,2021-10-11 00:00:00-04:00,292.4399871826172,WIN (T1 Hit),-6.565706154490576,0
V,Double Bottom,2021-10-11 00:00:00-04:00,221.45938347829508,2021-10-11 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),65.98463291062443,0
GILD,Double Bottom,2021-10-11 00:00:00-04:00,57.4215160468219,2021-10-11 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),146.82882901420584,0
UNP,Double Bottom,2021-10-11 00:00:00-04:00,194.64604765035043,2021-10-11 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),52.284478799687115,0
CVX,Double Bottom,2021-10-11 00:00:00-04:00,89.65949774364317,2021-10-11 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),114.19781177631356,0
PANW,Double Bottom,2021-10-18 00:00:00-04:00,85.0,2021-10-18 00:00:00-04:00,352.22200561523437,LOSS (Stop Hit),314.37883013556984,0
ZS,Double Bottom,2021-10-18 00:00:00-04:00,292.510009765625,2021-10-18 00:00:00-04:00,166.45499420166016,WIN (T1 Hit),-43.09425707002882,0
SNOW,Double Bottom,2021-10-18 00:00:00-04:00,332.0,2021-10-18 00:00:00-04:00,292.4399871826172,WIN (T1 Hit),-11.915666511259882,0
V,Double Bottom,2021-10-18 00:00:00-04:00,221.62301740882918,2021-10-18 00:00:00-04:00,367.58854471258013,LOSS (Stop Hit),65.86207922369704,0
GILD,Double Bottom,2021-10-18 00:00:00-04:00,56.807155769888666,2021-10-18 00:00:00-04:00,141.73285566057478,LOSS (Stop Hit),149.4982432049556,0
UNP,Double Bottom,2021-10-18 00:00:00-04:00,201.05460151819315,2021-10-18 00:00:00-04:00,296.4157191685268,LOSS (Stop Hit),47.43045766187278,0
CVX,Double Bottom,2021-10-18 00:00:00-04:00,90.19960525093421,2021-10-18 00:00:00-04:00,192.0486822165169,LOSS (Stop Hit),112.9152136334076,0
