idx,symbol,date,detected,classification,quality_score,convergence_ratio,convergence_pct,up_slope,lo_slope,upper_descending,lower_descending,converging,n_peaks,n_troughs,n_touch,duration,price_change_pct,pnl_pct,chart
34,HAL,2023-07-05 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.27299892296460054,72.70010770353994,-0.013988620723249488,0.05355215460083835,True,False,True,7.0,6.0,13.0,72.0,5.161045335545091,8.574133582749123,wedge_audit/wedge_034_HAL.png
35,VLTO,2026-06-30 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2737277596930251,72.62722403069749,-0.2044737690750163,-0.07278662705959993,True,True,True,5.0,6.0,11.0,50.0,-7.8010581848096505,5.437366357417887,wedge_audit/wedge_035_VLTO.png
36,WFC,2021-10-26 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.2584279358966362,74.15720641033639,-0.03137654677587649,0.04557195320295154,True,False,True,6.0,8.0,14.0,68.0,1.180732598880097,6.793740494058209,wedge_audit/wedge_036_WFC.png
37,MCHP,2026-04-07 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.24374023942938008,75.62597605706199,-0.5215393677282537,-0.13509245858422428,True,True,True,3.0,4.0,7.0,36.0,-16.244084216299203,14.43832040303344,wedge_audit/wedge_037_MCHP.png
38,LH,2026-06-30 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.23832642721352013,76.16735727864798,-0.18211983204624815,0.17711169654391337,True,False,True,9.0,12.0,21.0,111.0,-0.106340400958735,5.745061558486602,wedge_audit/wedge_038_LH.png
39,LYV,2022-09-13 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.32495534327375014,67.50446567262497,-0.3254547119140627,-0.06511444685388254,True,True,True,2.0,4.0,6.0,22.0,-4.502582483284387,-2.350770667683242,wedge_audit/wedge_039_LYV.png
40,PSKY,2025-12-02 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.26681925136838164,73.31807486316184,-0.09968451953782602,-0.05548955206962707,True,True,True,6.0,5.0,11.0,55.0,-22.56179079534521,-6.115060573438995,wedge_audit/wedge_040_PSKY.png
41,KEY,2024-05-07 04:00:00+00:00,True,CLEARLY_VALID,5.5,0.34854331993361065,65.14566800663893,-0.04556238091499324,-0.014438183491775837,True,True,True,2.0,3.0,5.0,27.0,-5.934728462073284,4.9201467345690215,wedge_audit/wedge_041_KEY.png
42,AZO,2023-11-07 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.25684994429477664,74.31500557052233,-3.296669699928961,-0.5296644422743135,True,True,True,12.0,14.0,26.0,99.0,-7.094145403726454,4.4939953316467625,wedge_audit/wedge_042_AZO.png
43,GPN,2023-07-05 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.4873691652213239,51.26308347786761,-0.20025665832269807,-0.11999544441126937,True,True,True,6.0,5.0,11.0,52.0,-8.123458105226714,4.224618944174171,wedge_audit/wedge_043_GPN.png
44,ELV,2022-08-16 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.23460232840089917,76.53976715991008,-0.20402811511035687,0.3762605564682089,True,False,True,15.0,13.0,28.0,113.0,2.221858559897415,-4.488914798628076,wedge_audit/wedge_044_ELV.png
45,ALL,2023-04-11 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.24254577228546936,75.74542277145306,-0.7959927887444627,-0.424179828166172,True,True,True,5.0,4.0,9.0,52.0,-25.20315380705836,15.058321505682876,wedge_audit/wedge_045_ALL.png
46,TT,2026-04-07 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.29599355301008595,70.40064469899141,-1.7038985230340598,-0.8683454681357106,True,True,True,6.0,7.0,13.0,56.0,-15.0096173700728,5.931959873768268,wedge_audit/wedge_046_TT.png
47,ALGN,2023-10-24 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.29280603476800915,70.71939652319908,-3.046353523186363,-2.3525994278235487,True,True,True,6.0,6.0,12.0,49.0,-34.277118778753916,-5.600389611091833,wedge_audit/wedge_047_ALGN.png
48,TPL,2022-05-24 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.2813549603331437,71.86450396668562,-0.378808080699468,-0.028673041916198985,True,True,True,7.0,7.0,14.0,75.0,-9.726922457033584,9.058472481237343,wedge_audit/wedge_048_TPL.png
49,CMCSA,2022-03-29 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.3948011733718386,60.51988266281614,-0.08656832944833245,-0.05716960722457365,True,True,True,10.0,10.0,20.0,110.0,-17.884249523649043,-4.081981285913354,wedge_audit/wedge_049_CMCSA.png
50,GPN,2024-01-30 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.2580002877305809,74.19997122694191,-0.18098094508557047,0.09832314234043922,True,False,True,3.0,3.0,6.0,30.0,-0.9836434274620569,4.465383142164829,wedge_audit/wedge_050_GPN.png
51,LEN,2022-04-26 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.22586709489729484,77.41329051027051,-0.46090267365189797,-0.28550260385093273,True,True,True,11.0,10.0,21.0,107.0,-37.245062706759576,7.550889140977094,wedge_audit/wedge_051_LEN.png
52,ARES,2023-12-05 05:00:00+00:00,True,BORDERLINE,2.0,0.84515900786693,15.484099213307001,0.011541161785012957,0.044506003277542616,False,False,True,6.0,5.0,11.0,53.0,1.5491775496824403,6.256548466485391,wedge_audit/wedge_052_ARES.png
53,L,2023-11-07 05:00:00+00:00,True,PROBABLY_VALID,4.0,0.5035939244701856,49.64060755298144,-0.020349792466207755,0.045266634432416394,True,False,True,3.0,3.0,6.0,34.0,0.6750903422069664,3.493603921595964,wedge_audit/wedge_053_L.png
54,TPR,2025-05-06 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.25618263583986883,74.38173641601311,-0.2711852035199217,-0.07942163681043504,True,True,True,8.0,7.0,15.0,70.0,-16.16221972031009,7.83259641678051,wedge_audit/wedge_054_TPR.png
55,ERIE,2023-06-20 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.15144676312305755,84.85532368769424,-0.6560620267452179,-0.0731432751790895,True,True,True,3.0,4.0,7.0,28.0,-4.806530333092049,-1.7111936116974196,wedge_audit/wedge_055_ERIE.png
56,RSG,2026-06-30 04:00:00+00:00,True,CLEARLY_VALID,5.5,0.2970580192571602,70.29419807428398,-0.3034897629420218,0.2419983238491377,True,False,True,2.0,3.0,5.0,28.0,-0.4150646874135898,5.171447474302644,wedge_audit/wedge_056_RSG.png
57,CVNA,2022-02-01 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.6544175119080098,34.55824880919902,-0.7304762486646718,-0.6716052713156396,True,True,True,9.0,10.0,19.0,70.0,-64.49200215208307,-7.999999999999995,wedge_audit/wedge_057_CVNA.png
58,ROK,2026-01-13 05:00:00+00:00,True,CLEARLY_VALID,5.0,0.2503677880555229,74.96322119444771,0.34499665343232316,0.758084825617577,False,False,True,11.0,12.0,23.0,104.0,16.615307441791433,3.5623988142502347,wedge_audit/wedge_058_ROK.png
59,CPRT,2024-06-18 04:00:00+00:00,True,CLEARLY_VALID,7.0,0.28763250700330756,71.23674929966924,-0.07512413177397852,-0.029389672436065148,True,True,True,11.0,8.0,19.0,109.0,-9.726133933527336,-3.783967913383728,wedge_audit/wedge_059_CPRT.png
60,LMT,2024-12-31 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.24784102196404328,75.21589780359568,-2.4597788136791774,-1.94170226661433,True,True,True,12.0,9.0,21.0,103.0,-33.30364683557626,-0.997053747234866,wedge_audit/wedge_060_LMT.png
61,JBHT,2022-07-19 04:00:00+00:00,True,CLEARLY_VALID,6.0,0.19163872729751064,80.83612727024894,-0.4271604830789501,0.039719997030752914,True,False,True,5.0,6.0,11.0,51.0,-6.042606684561699,7.993746314357105,wedge_audit/wedge_061_JBHT.png
62,BALL,2024-01-30 05:00:00+00:00,True,CLEARLY_VALID,7.0,0.25719742942692453,74.28025705730754,-0.19025531693153053,-0.07988995611673842,True,True,True,3.0,3.0,6.0,30.0,-7.191286395064571,4.200349678571627,wedge_audit/wedge_062_BALL.png
63,MGM,2022-03-29 04:00:00+00:00,True,PROBABLY_VALID,4.0,0.9649478141978793,3.505218580212066,-0.22328414119494958,-0.21609913800333358,True,True,True,4.0,4.0,8.0,32.0,-15.605092334800222,-7.254478950023873,wedge_audit/wedge_063_MGM.png
64,CME,2025-01-28 05:00:00+00:00,True,CLEARLY_VALID,6.0,0.162720276174608,83.72797238253919,-0.19053261525836726,0.2134536562304557,True,False,True,5.0,5.0,10.0,45.0,0.23494838706858145,4.890678010543431,wedge_audit/wedge_064_CME.png
65,SRE,2023-07-18 04:00:00+00:00,True,BORDERLINE,2.0,0.934263581785306,6.5736418214694,0.012977895758993413,0.019933196937596428,False,False,True,4.0,4.0,8.0,26.0,0.6471807101070207,5.406371379360534,wedge_audit/wedge_065_SRE.png
